AD_T10_T12_1	AD_T10_T12_2	AD_T10_T12_3	AD_T10_T12_4	AD_T10_T12_5	AD_T10_T12_6	AD_T3_T5_1	AD_T3_T5_2	AD_T3_T5_3	AD_T3_T5_4	AD_T3_T5_5	AD_T3_T5_6	gene_id	gene
37	20	2	59	40	0	4	0	1	2	0	2	ENSG00000196126	HLA-DRB1
10	1	10	24	3	6	0	1	0	0	0	1	ENSG00000231574	LINC02015
154	287	319	586	626	477	2361	2682	2884	1587	1431	1413	ENSG00000164104	HMGB2
6	5	2	1	5	10	0	0	0	0	0	2	ENSG00000064787	BCAS1
2	6	3	2	0	2	34	6	37	12	7	18	ENSG00000107562	CXCL12
3	2	0	5	0	1	10	13	13	6	5	8	ENSG00000280020	AC116407.3
9	30	24	13	19	17	87	159	122	99	112	118	ENSG00000144152	FBLN7
0	0	1	0	0	0	0	3	0	12	13	3	ENSG00000231274	SBK3
16	17	29	67	30	31	3	5	10	0	3	8	ENSG00000169252	ADRB2
8	19	26	16	44	29	0	0	0	0	4	2	ENSG00000181634	TNFSF15
644	3255	11295	2225	3959	19466	11	859	74	27	3556	651	ENSG00000146197	SCUBE3
1	16	2	1	1	5	0	0	0	0	1	1	ENSG00000205744	DENND1C
147	240	195	532	547	490	2191	2741	2781	643	536	393	ENSG00000170312	CDK1
17	13	12	9	5	7	0	0	0	0	0	0	ENSG00000186832	KRT16
16	18	34	17	10	16	2	4	12	2	5	3	ENSG00000248323	LUCAT1
2	0	1	1	0	0	9	23	11	6	13	6	ENSG00000278962	AC092645.1
6	10	2	25	11	3	0	1	1	3	0	1	ENSG00000241956	AC109466.1
0	2	1	1	1	2	11	12	14	4	5	5	ENSG00000101306	MYLK2
0	0	0	0	0	0	3	2	4	6	5	2	ENSG00000111049	MYF5
8	2	0	10	4	2	0	0	0	0	2	0	ENSG00000101210	EEF1A2
319	216	204	550	177	405	71	156	76	15	71	28	ENSG00000023445	BIRC3
71	73	99	20	8	7	4	1	11	1	1	1	ENSG00000171658	NMRAL2P
4	9	4	42	17	21	140	132	56	99	126	97	ENSG00000054654	SYNE2
4	9	15	3	4	8	0	1	3	1	2	2	ENSG00000087589	CASS4
10	11	9	21	17	4	7	7	12	162	71	86	ENSG00000164379	FOXQ1
36	60	20	75	61	20	9	7	7	15	2	22	ENSG00000250697	AC010343.3
60	157	137	215	241	226	974	1348	1385	433	326	454	ENSG00000129195	PIMREG
1	8	2	5	2	4	23	12	9	65	47	85	ENSG00000128602	SMO
21	16	29	74	46	61	636	749	596	218	205	228	ENSG00000186193	SAPCD2
29	13	10	64	47	58	13	5	6	7	7	12	ENSG00000172201	ID4
0	1	0	0	0	0	1	3	0	2	8	4	ENSG00000272950	AC093799.1
9	9	0	10	4	7	2	0	1	0	0	0	ENSG00000249102	AC034223.1
7	3	6	2	8	3	43	38	37	45	25	29	ENSG00000065717	TLE2
23	16	14	16	15	15	1	1	1	10	7	4	ENSG00000167554	ZNF610
45	26	16	50	45	46	5	6	1	8	22	17	ENSG00000081853	PCDHGA2
12	4	12	1	1	0	0	0	0	0	1	0	ENSG00000127533	F2RL3
0	2	0	0	1	0	4	5	4	4	3	7	ENSG00000284428	AC092329.4
7	0	1	0	3	0	34	12	25	10	4	10	ENSG00000228536	AL513283.1
1	0	0	3	2	2	8	3	1	6	14	5	ENSG00000253366	AC139272.1
2	0	1	3	3	1	13	7	6	8	10	8	ENSG00000164946	FREM1
3841	2845	3409	4252	5560	4169	279	453	510	830	1027	942	ENSG00000147889	CDKN2A
4	4	3	3	3	5	0	0	0	0	2	0	ENSG00000156219	ART3
7	7	31	10	7	21	1	0	3	1	2	0	ENSG00000138135	CH25H
8	5	13	5	2	12	0	7	2	1	1	0	ENSG00000280143	AP000892.3
822	172	2367	817	73	1845	99	265	17	219	571	34	ENSG00000198848	CES1
112	85	93	71	114	45	4	1	5	4	1	5	ENSG00000260454	AL355607.2
3	2	3	10	6	8	0	1	0	3	1	1	ENSG00000254827	SLC22A18AS
7	6	21	13	0	6	75	47	27	149	92	82	ENSG00000077420	APBB1IP
5	5	14	8	13	8	56	52	51	37	29	28	ENSG00000226887	ERVMER34-1
3	3	1	1	5	3	28	8	15	121	133	109	ENSG00000165269	AQP7
7	4	5	6	10	5	2	0	0	0	0	0	ENSG00000169306	IL1RAPL1
614	1509	1498	441	1048	1394	154	192	189	105	119	108	ENSG00000058085	LAMC2
0	0	0	0	2	0	2	1	3	9	10	7	ENSG00000077264	PAK3
4	0	12	10	6	8	1	2	0	0	0	0	ENSG00000146678	IGFBP1
341	339	235	379	192	230	41	43	40	56	84	69	ENSG00000159217	IGF2BP1
18	8	22	25	20	22	2	4	0	2	9	7	ENSG00000169583	CLIC3
489	470	487	557	895	622	44	28	51	147	161	202	ENSG00000178531	CTXN1
39	157	89	87	102	85	0	5	11	1	1	7	ENSG00000221852	KRTAP1-5
296	330	325	255	275	186	28	24	16	24	41	35	ENSG00000240476	LINC00973
29	39	39	66	66	46	1	1	0	5	5	14	ENSG00000127585	FBXL16
240	708	663	926	981	987	5703	6669	6361	2130	2097	2373	ENSG00000166851	PLK1
4	9	0	4	6	0	0	0	1	0	0	0	ENSG00000242550	SERPINB10
98	1	7	77	8	1	2	0	0	2	2	1	ENSG00000164418	GRIK2
7	2	3	5	6	13	0	1	0	3	4	0	ENSG00000167680	SEMA6B
77	164	165	224	286	237	1113	1377	1633	440	441	550	ENSG00000178999	AURKB
0	1	0	0	2	0	3	0	2	11	8	7	ENSG00000231453	LINC01305
68	63	54	47	37	28	7	10	9	13	18	5	ENSG00000233822	HIST1H2BN
1	0	1	0	0	1	2	10	3	1	2	6	ENSG00000273188	AL022328.3
95	204	231	305	256	271	1301	1623	1534	415	423	373	ENSG00000165480	SKA3
14	25	25	24	33	10	0	1	2	1	0	3	ENSG00000197506	SLC28A3
111	16	36	88	14	47	4	1	0	6	8	2	ENSG00000183421	RIPK4
8	15	7	23	17	24	94	55	83	63	77	68	ENSG00000198885	ITPRIPL1
3	2	4	7	4	0	0	1	0	0	1	0	ENSG00000174844	DNAH12
87	66	47	30	59	23	345	283	588	157	125	122	ENSG00000130208	APOC1
196	165	237	210	189	203	27	15	26	81	60	38	ENSG00000158373	HIST1H2BD
6	11	7	0	4	7	47	30	40	8	15	6	ENSG00000269970	AL162424.1
3	8	5	10	8	6	0	3	2	0	0	3	ENSG00000179133	C10orf67
1	2	2	7	5	1	0	1	1	0	0	0	ENSG00000189409	MMP23B
1	3	4	6	13	0	0	1	2	0	0	0	ENSG00000257522	AL133166.1
3	3	3	5	9	0	0	0	0	0	0	1	ENSG00000176884	GRIN1
5	7	4	9	0	1	0	0	0	0	0	0	ENSG00000240386	LCE1F
77	62	45	52	52	52	186	78	120	1072	556	1054	ENSG00000159164	SV2A
7	4	6	0	4	4	22	28	6	38	35	24	ENSG00000174740	PABPC5
2	0	2	2	3	0	8	21	14	1	12	9	ENSG00000152583	SPARCL1
326	248	469	205	223	293	73	134	80	46	79	44	ENSG00000114771	AADAC
1	0	0	0	0	0	10	7	7	1	0	2	ENSG00000166670	MMP10
15	6	1	8	7	0	0	0	0	3	0	0	ENSG00000214866	DCDC2C
3	2	2	2	2	0	6	7	2	39	36	37	ENSG00000146411	SLC2A12
155	148	135	152	67	84	5	28	12	44	55	41	ENSG00000048052	HDAC9
672	739	509	551	445	361	55	20	65	139	110	220	ENSG00000099337	KCNK6
42	65	82	45	110	118	6	16	18	2	11	16	ENSG00000130751	NPAS1
361	327	328	390	358	257	69	61	76	76	66	62	ENSG00000276180	HIST1H4I
347	443	431	194	333	315	1	11	7	1	5	5	ENSG00000212724	KRTAP2-3
0	0	0	0	0	0	5	10	7	7	1	3	ENSG00000271888	AL136162.1
12	3	49	6	6	80	1	1	8	0	11	0	ENSG00000228695	CES1P1
6	2	2	5	2	1	53	2	3	45	12	11	ENSG00000078549	ADCYAP1R1
21	17	6	12	28	8	1	10	2	0	1	3	ENSG00000164106	SCRG1
8	2	3	3	2	0	9	1	1	120	50	64	ENSG00000101265	RASSF2
0	0	0	0	0	1	4	1	1	1	4	4	ENSG00000272442	AL353588.1
2	4	2	6	1	2	12	3	5	15	19	28	ENSG00000110900	TSPAN11
81	80	79	150	115	111	21	14	38	14	24	44	ENSG00000148680	HTR7
3	6	7	2	1	3	26	25	12	78	72	29	ENSG00000123360	PDE1B
5	4	7	2	7	3	0	1	0	0	4	0	ENSG00000180539	C9orf139
12	14	25	37	21	25	1	4	3	10	10	3	ENSG00000099849	RASSF7
34	50	62	50	28	29	14	9	8	11	10	6	ENSG00000273802	HIST1H2BG
4	2	6	13	9	2	0	0	4	2	0	0	ENSG00000166960	CCDC178
6	2	2	4	2	11	0	0	0	0	0	0	ENSG00000254300	LINC01111
6	16	15	3	5	8	0	0	8	0	1	3	ENSG00000150722	PPP1R1C
0	0	0	4	0	1	6	11	1	3	13	3	ENSG00000250305	TRMT9B
677	1526	909	825	1555	1172	7	27	104	19	18	64	ENSG00000131737	KRT34
85	85	117	130	158	96	4	8	7	46	33	35	ENSG00000261040	WFDC21P
10	5	1	2	5	2	11	1	3	41	33	25	ENSG00000101115	SALL4
1	6	1	34	18	10	0	0	0	0	0	0	ENSG00000181449	SOX2
1	5	58	1	2	16	2	2	1	0	3	0	ENSG00000179603	GRM8
19	16	17	50	30	55	0	3	0	0	5	5	ENSG00000166510	CCDC68
11	2	7	40	9	32	0	1	2	10	9	4	ENSG00000156687	UNC5D
6	3	7	8	0	2	1	1	0	0	0	1	ENSG00000260132	AL032819.1
15	13	11	19	13	10	28	24	28	100	110	94	ENSG00000108984	MAP2K6
29	17	41	25	10	19	0	1	3	2	1	2	ENSG00000136244	IL6
5	1	2	0	0	0	2	6	0	25	23	16	ENSG00000257038	AP002761.3
1	0	2	1	0	1	17	39	4	9	16	4	ENSG00000162706	CADM3
38	19	31	18	26	22	2	6	1	14	2	2	ENSG00000232774	AL355916.1
6	1	1	1	1	3	12	23	4	40	12	16	ENSG00000035664	DAPK2
2	0	2	3	0	3	7	8	10	11	5	13	ENSG00000131094	C1QL1
6	6	6	4	0	9	0	0	1	0	2	0	ENSG00000230257	NFE4
1113	913	1311	1071	981	804	53	32	40	388	264	243	ENSG00000180573	HIST1H2AC
157	91	112	152	85	40	11	11	23	16	10	11	ENSG00000236453	AC003092.1
123	110	98	123	99	68	8	4	5	28	33	16	ENSG00000138378	STAT4
100	264	114	295	459	254	4	22	26	15	41	39	ENSG00000164220	F2RL2
1	1	2	36	15	12	0	1	0	1	3	0	ENSG00000128052	KDR
2615	5790	6502	2936	3076	3931	5	32	28	41	126	134	ENSG00000166923	GREM1
419	215	430	362	130	228	4	5	5	11	46	30	ENSG00000090339	ICAM1
11	6	6	3	11	5	0	3	0	0	2	4	ENSG00000189108	IL1RAPL2
444	443	284	271	358	429	62	19	24	30	34	29	ENSG00000139364	TMEM132B
1	0	0	0	0	0	5	1	7	5	0	3	ENSG00000271537	AC009220.3
3	11	2	5	2	1	0	1	0	0	0	0	ENSG00000235448	LURAP1L-AS1
151	341	318	474	332	472	2434	2816	2517	1005	922	1104	ENSG00000075218	GTSE1
4	1	1	5	0	2	38	45	38	169	217	57	ENSG00000169418	NPR1
0	8	1	0	6	0	16	6	18	11	16	16	ENSG00000256771	ZNF253
60	12	33	58	16	33	7	2	2	3	2	0	ENSG00000116745	RPE65
0	0	0	0	1	0	1	0	0	28	4	3	ENSG00000100336	APOL4
919	668	903	580	282	565	91	114	92	128	166	100	ENSG00000157064	NMNAT2
3	15	5	2	7	2	25	21	15	43	34	32	ENSG00000186907	RTN4RL2
2	4	16	3	6	8	1	1	0	5	2	0	ENSG00000225205	AC078883.1
56	44	35	17	8	7	358	111	257	194	118	151	ENSG00000188064	WNT7B
37	37	14	27	13	6	167	138	148	152	86	139	ENSG00000206190	ATP10A
0	0	1	0	0	0	0	4	5	4	2	4	ENSG00000230185	C9orf147
12	14	14	11	10	12	20	20	19	178	189	196	ENSG00000182175	RGMA
1	4	6	2	0	2	0	0	0	0	0	0	ENSG00000178457	LINC00314
998	11476	2040	2058	14855	4722	8	31	137	190	351	1695	ENSG00000171345	KRT19
181	331	365	543	596	539	2989	3092	3295	1123	931	1089	ENSG00000101057	MYBL2
4	3	9	4	0	0	1	5	6	42	32	37	ENSG00000169071	ROR2
27	45	10	45	58	5	0	2	6	3	0	3	ENSG00000118785	SPP1
2	6	2	3	2	3	0	0	0	0	0	0	ENSG00000113946	CLDN16
348	556	393	354	532	411	46	35	55	159	131	185	ENSG00000115828	QPCT
2	3	2	3	1	2	3	7	2	18	17	10	ENSG00000141750	STAC2
2	5	3	7	8	2	0	0	1	1	2	0	ENSG00000222898	RN7SKP97
0	0	0	1	1	0	0	0	0	18	22	12	ENSG00000100078	PLA2G3
6	11	16	10	11	7	0	2	2	4	0	0	ENSG00000167642	SPINT2
131	68	52	134	42	38	6	1	8	10	3	1	ENSG00000182585	EPGN
236	318	327	386	337	436	16	37	46	50	142	111	ENSG00000136542	GALNT5
3	5	13	10	4	10	0	0	2	6	3	0	ENSG00000101842	VSIG1
0	3	7	7	9	3	0	0	0	0	0	0	ENSG00000087250	MT3
8	8	3	9	2	2	1	1	1	1	1	2	ENSG00000231064	AC234582.1
5	2	7	3	4	1	0	0	0	0	0	0	ENSG00000244558	KCNK15-AS1
15	13	11	13	16	2	0	0	1	4	3	4	ENSG00000112053	SLC26A8
0	32	1	0	12	1	0	0	1	1	0	0	ENSG00000270276	HIST2H4B
5	3	3	8	7	0	0	0	0	0	0	0	ENSG00000184106	TREML3P
2	1	4	6	22	4	0	0	0	0	0	0	ENSG00000159763	PIP
22	23	12	33	18	9	0	0	0	2	1	0	ENSG00000268812	AC004264.1
10	2	9	0	5	2	49	64	46	19	3	6	ENSG00000147257	GPC3
5	2	8	4	2	5	0	0	0	2	0	0	ENSG00000016490	CLCA1
1391	1441	942	1307	887	905	19	34	33	69	40	60	ENSG00000128342	LIF
151	349	380	441	576	514	2514	3399	3994	761	803	896	ENSG00000175063	UBE2C
6	7	16	17	14	16	98	126	126	57	41	38	ENSG00000257167	TMPO-AS1
149	31	57	79	14	36	5	10	10	14	9	11	ENSG00000167641	PPP1R14A
3	2	3	7	8	3	0	0	0	0	0	0	ENSG00000144191	CNGA3
0	1	4	0	2	3	16	15	17	5	9	2	ENSG00000274825	AL023803.2
6	2	3	3	5	10	0	0	0	0	0	0	ENSG00000114638	UPK1B
705	570	865	536	461	650	26	42	14	128	178	67	ENSG00000125089	SH3TC1
2	2	5	4	1	0	0	0	0	0	0	0	ENSG00000250271	AC068647.2
28	19	16	33	14	7	204	78	261	69	28	55	ENSG00000163737	PF4
70	121	123	37	60	58	7	2	0	19	20	30	ENSG00000247095	MIR210HG
0	1	0	5	0	0	6	2	5	12	13	10	ENSG00000267886	AC074135.1
3	5	11	13	15	6	0	0	1	3	0	0	ENSG00000228787	NLGN4Y-AS1
62	81	125	39	98	94	5	2	1	4	19	5	ENSG00000135549	PKIB
16	40	73	28	44	67	3	2	4	4	7	5	ENSG00000133169	BEX1
133	104	105	5	2	2	10	2	21	6	10	13	ENSG00000139269	INHBE
0	0	1	0	2	0	43	29	18	1	4	0	ENSG00000123243	ITIH5
38	87	70	206	178	154	716	877	868	377	346	367	ENSG00000115163	CENPA
23	15	30	19	16	19	0	4	1	1	7	1	ENSG00000177675	CD163L1
30	72	56	95	140	30	0	0	2	1	0	5	ENSG00000235385	LINC02154
0	0	0	1	0	0	5	1	2	22	12	10	ENSG00000108947	EFNB3
19	25	16	12	6	4	1	2	1	2	5	0	ENSG00000076864	RAP1GAP
75	60	96	27	25	42	567	634	788	275	377	284	ENSG00000129009	ISLR
45	50	27	51	90	39	10	2	7	2	6	9	ENSG00000251003	ZFPM2-AS1
0	0	0	1	2	0	3	1	2	19	2	10	ENSG00000148600	CDHR1
4	1	0	3	2	0	5	8	4	13	17	5	ENSG00000139597	N4BP2L1
0	4	1	0	0	0	8	14	26	1	3	4	ENSG00000280079	AC011447.7
0	2	4	2	0	0	3	1	3	26	13	40	ENSG00000129757	CDKN1C
178	423	333	746	859	588	2760	2959	3376	1752	1341	1647	ENSG00000176890	TYMS
25	29	14	19	11	13	45	27	28	127	163	102	ENSG00000197046	SIGLEC15
0	0	1	0	0	0	4	0	1	6	10	7	ENSG00000197291	RAMP2-AS1
57	27	5	89	35	28	16	0	16	13	1	14	ENSG00000186462	NAP1L2
5	5	22	2	9	13	45	44	53	77	70	94	ENSG00000128045	RASL11B
5	2	3	9	9	9	1	0	3	1	3	1	ENSG00000121270	ABCC11
3	1	1	12	3	0	0	0	0	0	0	0	ENSG00000211890	IGHA2
4	2	3	2	1	2	1	0	0	0	0	0	ENSG00000225279	AL121987.1
0	0	0	1	1	0	2	1	0	9	5	5	ENSG00000220161	LINC02076
18	100	52	57	154	163	6	4	13	10	21	21	ENSG00000183760	ACP7
58	39	24	105	76	49	4	4	2	16	9	23	ENSG00000146352	CLVS2
6	4	3	5	7	0	11	9	20	24	18	45	ENSG00000170745	KCNS3
235	110	246	200	48	277	58	122	51	19	26	10	ENSG00000248698	LINC01085
2	6	5	2	8	4	1	0	0	2	2	0	ENSG00000203812	HIST2H2AA3
390	397	488	375	432	468	73	103	306	24	24	81	ENSG00000105509	HAS1
10	2	2	1	5	1	0	0	0	2	0	0	ENSG00000237980	AL590648.3
13	3	17	4	13	1	0	0	2	0	3	4	ENSG00000263718	AC068594.1
0	0	0	0	0	1	2	5	2	2	3	1	ENSG00000147180	ZNF711
1	6	6	4	1	1	16	15	21	38	43	52	ENSG00000166341	DCHS1
0	2	0	0	2	5	9	12	23	5	10	10	ENSG00000183150	GPR19
2	1	0	1	2	0	12	10	7	9	1	5	ENSG00000141314	RHBDL3
41	15	13	37	16	22	17	3	7	6	1	1	ENSG00000137975	CLCA2
1	3	3	6	3	0	0	0	0	0	0	0	ENSG00000212722	KRTAP4-9
2262	2133	2707	1619	1524	2242	133	139	237	88	134	181	ENSG00000124882	EREG
504	877	840	1471	963	1472	5798	5578	4823	3720	3637	3851	ENSG00000010292	NCAPD2
520	781	649	1574	742	1334	6325	8436	6163	2200	2164	1672	ENSG00000131747	TOP2A
3	10	1	1	2	1	0	0	0	0	0	0	ENSG00000278998	AC099552.4
29	19	36	12	14	14	4	4	5	6	2	1	ENSG00000125675	GRIA3
15	9	7	5	6	3	39	117	194	2	1	6	ENSG00000111341	MGP
14	16	17	23	40	23	3	13	3	2	9	4	ENSG00000140798	ABCC12
13	4	4	30	4	11	3	0	0	2	1	0	ENSG00000255282	WTAPP1
58	121	108	86	55	128	5	7	15	9	17	19	ENSG00000096696	DSP
185	107	199	171	85	182	40	33	17	52	28	19	ENSG00000164176	EDIL3
1	3	1	0	2	0	6	5	4	21	37	11	ENSG00000159212	CLIC6
36	11	27	12	19	17	6	10	3	0	6	2	ENSG00000092345	DAZL
60	69	103	61	94	58	13	7	7	28	26	27	ENSG00000269899	AC025857.2
70	194	141	296	317	298	1566	1855	1881	576	447	595	ENSG00000111665	CDCA3
